GeneA_ID,GeneA_Name,GeneB_ID,GeneB_Name,ConfidenceScore,Source
ENSG00000129152.4,MYOD1,ENSG00000113360.17,DROSHA,278,STRING
ENSG00000129152.4,MYOD1,ENSG00000145604.17,SKP2,171,STRING
ENSG00000129152.4,MYOD1,ENSG00000113594.10,LIFR,152,STRING
ENSG00000129152.4,MYOD1,ENSG00000112964.14,GHR,253,STRING
ENSG00000129152.4,MYOD1,ENSG00000169271.3,HSPB3,253,STRING
ENSG00000129152.4,MYOD1,ENSG00000134057.15,CCNB1,312,STRING
ENSG00000129152.4,MYOD1,ENSG00000134058.12,CDK7,167,STRING
ENSG00000129152.4,MYOD1,ENSG00000164309.15,CMYA5,171,STRING
ENSG00000129152.4,MYOD1,ENSG00000113296.14,THBS4,152,STRING
ENSG00000129152.4,MYOD1,ENSG00000310517.1,CAST,243,STRING
ENSG00000129152.4,MYOD1,ENSG00000153922.12,CHD1,210,STRING
ENSG00000129152.4,MYOD1,ENSG00000205359.10,SLCO6A1,253,STRING
ENSG00000129152.4,MYOD1,ENSG00000152495.11,CAMK4,259,STRING
ENSG00000129152.4,MYOD1,ENSG00000113083.15,LOX,225,STRING
ENSG00000129152.4,MYOD1,ENSG00000145794.17,MEGF10,295,STRING
ENSG00000129152.4,MYOD1,ENSG00000138829.14,FBN2,162,STRING
ENSG00000129152.4,MYOD1,ENSG00000169194.10,IL13,153,STRING
ENSG00000129152.4,MYOD1,ENSG00000113520.11,IL4,222,STRING
ENSG00000129152.4,MYOD1,ENSG00000081059.20,TCF7,293,STRING
ENSG00000129152.4,MYOD1,ENSG00000061492.12,WNT8A,195,STRING
ENSG00000129152.4,MYOD1,ENSG00000120738.8,EGR1,307,STRING
ENSG00000129152.4,MYOD1,ENSG00000213523.12,SRA1,480,STRING
ENSG00000129152.4,MYOD1,ENSG00000171720.10,HDAC3,267,STRING
ENSG00000129152.4,MYOD1,ENSG00000113578.18,FGF1,244,STRING
ENSG00000129152.4,MYOD1,ENSG00000113580.15,NR3C1,292,STRING
ENSG00000129152.4,MYOD1,ENSG00000169252.6,ADRB2,183,STRING
ENSG00000129152.4,MYOD1,ENSG00000155846.17,PPARGC1B,348,STRING
ENSG00000129152.4,MYOD1,ENSG00000113722.18,CDX1,244,STRING
ENSG00000129152.4,MYOD1,ENSG00000113140.11,SPARC,222,STRING
ENSG00000129152.4,MYOD1,ENSG00000170624.14,SGCD,370,STRING
ENSG00000129152.4,MYOD1,ENSG00000184347.16,SLIT3,160,STRING
ENSG00000129152.4,MYOD1,ENSG00000156427.8,FGF18,442,STRING
ENSG00000129152.4,MYOD1,ENSG00000120129.6,DUSP1,197,STRING
ENSG00000129152.4,MYOD1,ENSG00000160867.15,FGFR4,393,STRING
ENSG00000129152.4,MYOD1,ENSG00000113758.14,DBN1,155,STRING
ENSG00000129152.4,MYOD1,ENSG00000161021.13,MAML1,332,STRING
ENSG00000129152.4,MYOD1,ENSG00000037280.16,FLT4,185,STRING
ENSG00000129152.4,MYOD1,ENSG00000054598.9,FOXC1,198,STRING
ENSG00000129152.4,MYOD1,ENSG00000145949.12,MYLK4,237,STRING
ENSG00000129152.4,MYOD1,ENSG00000153162.9,BMP6,246,STRING
ENSG00000129152.4,MYOD1,ENSG00000124523.17,SIRT5,186,STRING
ENSG00000129152.4,MYOD1,ENSG00000008083.14,JARID2,201,STRING
ENSG00000129152.4,MYOD1,ENSG00000172201.12,ID4,588,STRING
ENSG00000129152.4,MYOD1,ENSG00000112242.16,E2F3,173,STRING
ENSG00000129152.4,MYOD1,ENSG00000124766.7,SOX4,175,STRING
ENSG00000129152.4,MYOD1,ENSG00000187837.5,H1-2,163,STRING
ENSG00000129152.4,MYOD1,ENSG00000168298.7,H1-4,215,STRING
ENSG00000129152.4,MYOD1,ENSG00000184357.5,H1-5,548,STRING
ENSG00000129152.4,MYOD1,ENSG00000198704.10,GPX6,180,STRING
ENSG00000129152.4,MYOD1,ENSG00000224586.7,GPX5,188,STRING
ENSG00000129152.4,MYOD1,ENSG00000204531.21,POU5F1,568,STRING
ENSG00000129152.4,MYOD1,ENSG00000204256.15,BRD2,435,STRING
ENSG00000129152.4,MYOD1,ENSG00000231500.7,RPS18,173,STRING
ENSG00000129152.4,MYOD1,ENSG00000161904.13,LEMD2,150,STRING
ENSG00000129152.4,MYOD1,ENSG00000156711.17,MAPK13,205,STRING
ENSG00000129152.4,MYOD1,ENSG00000124701.6,APOBEC2,281,STRING
ENSG00000129152.4,MYOD1,ENSG00000112561.19,TFEB,183,STRING
ENSG00000129152.4,MYOD1,ENSG00000112658.8,SRF,865,STRING
ENSG00000129152.4,MYOD1,ENSG00000124571.18,XPO5,179,STRING
ENSG00000129152.4,MYOD1,ENSG00000262179.4,MYMX,440,STRING
ENSG00000129152.4,MYOD1,ENSG00000124813.23,RUNX2,523,STRING
ENSG00000129152.4,MYOD1,ENSG00000153291.16,SLC25A27,153,STRING
ENSG00000129152.4,MYOD1,ENSG00000146085.8,MMUT,197,STRING
ENSG00000129152.4,MYOD1,ENSG00000170950.6,PGK2,154,STRING
ENSG00000129152.4,MYOD1,ENSG00000001084.13,GCLC,175,STRING
ENSG00000129152.4,MYOD1,ENSG00000124743.6,KLHL31,332,STRING
ENSG00000129152.4,MYOD1,ENSG00000135333.15,EPHA7,393,STRING
ENSG00000129152.4,MYOD1,ENSG00000184486.10,POU3F2,344,STRING
ENSG00000129152.4,MYOD1,ENSG00000057657.17,PRDM1,247,STRING
ENSG00000129152.4,MYOD1,ENSG00000130348.11,QRSL1,179,STRING
ENSG00000129152.4,MYOD1,ENSG00000118689.15,FOXO3,658,STRING
ENSG00000129152.4,MYOD1,ENSG00000196591.12,HDAC2,714,STRING
ENSG00000129152.4,MYOD1,ENSG00000196569.14,LAMA2,353,STRING
ENSG00000129152.4,MYOD1,ENSG00000118523.6,CCN2,265,STRING
ENSG00000129152.4,MYOD1,ENSG00000112319.21,EYA4,208,STRING
ENSG00000129152.4,MYOD1,ENSG00000118526.7,TCF21,1000,HuRI
ENSG00000129152.4,MYOD1,ENSG00000029363.17,BCLAF1,171,STRING
ENSG00000129152.4,MYOD1,ENSG00000152818.20,UTRN,579,STRING
ENSG00000129152.4,MYOD1,ENSG00000091831.25,ESR1,573,STRING
ENSG00000129152.4,MYOD1,ENSG00000131018.25,SYNE1,205,STRING
ENSG00000129152.4,MYOD1,ENSG00000291237.1,SOD2,224,STRING
ENSG00000129152.4,MYOD1,ENSG00000197081.16,IGF2R,335,STRING
ENSG00000129152.4,MYOD1,ENSG00000164458.10,TBXT,247,STRING
ENSG00000129152.4,MYOD1,ENSG00000130396.22,AFDN,319,STRING
ENSG00000129152.4,MYOD1,ENSG00000198719.9,DLL1,334,STRING
ENSG00000129152.4,MYOD1,ENSG00000164828.18,SUN1,186,STRING
ENSG00000129152.4,MYOD1,ENSG00000164853.9,UNCX,220,STRING
ENSG00000129152.4,MYOD1,ENSG00000198286.11,CARD11,205,STRING
ENSG00000129152.4,MYOD1,ENSG00000164916.11,FOXK1,233,STRING
ENSG00000129152.4,MYOD1,ENSG00000048052.25,HDAC9,343,STRING
ENSG00000129152.4,MYOD1,ENSG00000122691.13,TWIST1,567,STRING
ENSG00000129152.4,MYOD1,ENSG00000136244.12,IL6,442,STRING
ENSG00000129152.4,MYOD1,ENSG00000105996.7,HOXA2,245,STRING
ENSG00000129152.4,MYOD1,ENSG00000197576.15,HOXA4,164,STRING
ENSG00000129152.4,MYOD1,ENSG00000106006.6,HOXA6,180,STRING
ENSG00000129152.4,MYOD1,ENSG00000005073.6,HOXA11,405,STRING
ENSG00000129152.4,MYOD1,ENSG00000106031.9,HOXA13,218,STRING
ENSG00000129152.4,MYOD1,ENSG00000106038.13,EVX1,200,STRING
ENSG00000129152.4,MYOD1,ENSG00000106128.19,GHRHR,167,STRING
ENSG00000129152.4,MYOD1,ENSG00000164600.7,NEUROD6,241,STRING
ENSG00000129152.4,MYOD1,ENSG00000164532.11,TBX20,269,STRING
ENSG00000129152.4,MYOD1,ENSG00000106571.15,GLI3,226,STRING
ENSG00000129152.4,MYOD1,ENSG00000146678.10,IGFBP1,179,STRING
ENSG00000129152.4,MYOD1,ENSG00000146674.16,IGFBP3,239,STRING
ENSG00000129152.4,MYOD1,ENSG00000146648.21,EGFR,254,STRING
ENSG00000129152.4,MYOD1,ENSG00000164776.11,PHKG1,203,STRING
ENSG00000129152.4,MYOD1,ENSG00000009950.16,MLXIPL,355,STRING
ENSG00000129152.4,MYOD1,ENSG00000106211.11,HSPB1,163,STRING
ENSG00000129152.4,MYOD1,ENSG00000135218.19,CD36,229,STRING
ENSG00000129152.4,MYOD1,ENSG00000005981.13,ASB4,185,STRING
